RR	LCI	UCI	P	var	class
0.006719905350292105	0.005446503882244711	0.008291030153139907	0	(Intercept)	nnrti
0.9776334764919141	0.727092307191608	1.3145060192554014	0.8809696552583886	round18	nnrti
0.005947319988899386	0.004726206354340159	0.007483933708878524	0	(Intercept)	nrti
0.8468415572194022	0.6077645664705508	1.1799645168496855	0.32599187341682423	round18	nrti
3.745954461662638e-4	1.5420992583780157e-4	9.099397949007052e-4	5.521549959086465e-68	(Intercept)	pi
0.8033974897400228	0.21537450214450443	2.9968613744607078	0.7444946803030669	round18	pi
