RR	LCI	UCI	P	var	class
0.04972944358926741	0.037170666156310976	0.06653142963051932	8.283675100647759e-91	(Intercept)	nnrti
1.4769966862725412	0.9169105101771869	2.379206244280593	0.10885737925510446	round16	nnrti
1.4377903073640794	0.9679137247874693	2.1357698677162684	0.07210760801247544	round17	nnrti
1.963775339075723	1.3075019052888515	2.949451596791377	0.0011462958967018173	round18	nnrti
1.7639450016441862	0.9053077578464167	3.436954938094508	0.09538366510024819	round19	nnrti
0.016777264709275787	0.010748701261911204	0.026187034532492163	2.156950814040019e-72	(Intercept)	nrti
0.8845976188976745	0.3304166298700566	2.3682613906787178	0.8071918561870167	round16	nrti
1.1054292648738386	0.5477141962942447	2.2310428831445566	0.7796647739399398	round17	nrti
1.0518036277710103	0.46356886182291546	2.3864650163126444	0.9038315369554528	round18	nrti
0.9823576757103	0.22820892551194136	4.228697895413588	0.9809322146909578	round19	nrti
0.021017796128697475	0.014508989896260063	0.030446485748905128	9.69346104466597e-93	(Intercept)	pi
0.9040498357293677	0.39254067589725317	2.0820927757719185	0.8126686792072518	round16	pi
0.6267503581618368	0.29565497776289706	1.3286297914828706	0.22294174866309382	round17	pi
0.9620018069758397	0.4563307332276747	2.02801917389827	0.9189104655160645	round18	pi
0.3925480166735343	0.05381172011019018	2.863575910206687	0.356374570827022	round19	pi
