RR	LCI	UCI	P	var	class	s
0.05898879440028396	0.04098812694809491	0.08489477621666985	1.9888544401640804e-52	(Intercept)	nnrti	sex
1.3789084045529763	0.7440373564981652	2.5555012413567213	0.3074012896913532	round16	nnrti	sex
1.5318893773342366	0.9291861204581906	2.5255274618526395	0.09451836515402563	round17	nnrti	sex
1.8094573621149745	1.0571577813504496	3.0971119004862153	0.030566621501009434	round18	nnrti	sex
1.7945650427615276	0.7729986036251894	4.166196002940283	0.17357967072117794	round19	nnrti	sex
0.678375017634983	0.37116487128146974	1.2398605044772146	0.20723543154227103	s_varM	nnrti	sex
1.1672579883364065	0.4415748370484788	3.085527292366009	0.7551667127249475	round16:s_varM	nnrti	sex
0.8835323487110005	0.3911864970701898	1.9955428345951067	0.765793438340983	round17:s_varM	nnrti	sex
1.237571682851168	0.540379487754314	2.8342742552274918	0.6141455119285422	round18:s_varM	nnrti	sex
0.9245652588523484	0.2355835618144745	3.62852531514866	0.9104810882643456	round19:s_varM	nnrti	sex
0.036391685930661485	0.015919344621954226	0.0831915406272127	4.01248089276892e-15	(Intercept)	nnrti	age_cat
2.191931483863414	0.7424764063665175	6.470998389651098	0.15535787113510768	round16	nnrti	age_cat
3.036170610203754	1.1678133979787293	7.8936686205349895	0.02271514614326992	round17	nnrti	age_cat
2.048112508160622	0.7079382522382406	5.925325878099806	0.18593267019968365	round18	nnrti	age_cat
2.2137507700627648	0.4608211860930777	10.634694367032925	0.3209854730167476	round19	nnrti	age_cat
1.242635061630617	0.4953437497357063	3.117313779002185	0.6434168164147429	s_var(24,34]	nnrti	age_cat
1.8474396592808617	0.709737074367215	4.808869957549797	0.20856296679132574	s_var(34,50]	nnrti	age_cat
0.7332203246829918	0.20492035686905513	2.623517022624394	0.6333045326812711	round16:s_var(24,34]	nnrti	age_cat
0.5099809216496614	0.16859761232672454	1.542611053961008	0.23310925618588035	round17:s_var(24,34]	nnrti	age_cat
1.221597816585041	0.3690297596041486	4.043850628973942	0.7431154259540896	round18:s_var(24,34]	nnrti	age_cat
0.5608724948834731	0.07831293676610977	4.0169347301625695	0.5648368719741852	round19:s_var(24,34]	nnrti	age_cat
0.4571622466165898	0.10939157999088929	1.910543021217301	0.2833982207231534	round16:s_var(34,50]	nnrti	age_cat
0.24240839589917104	0.0718509647358459	0.8178293864034007	0.02236600723727118	round17:s_var(34,50]	nnrti	age_cat
0.6700860945946763	0.18354808867042233	2.446309179363858	0.5445442458548796	round18:s_var(34,50]	nnrti	age_cat
0.9344409786667923	0.1487799611013058	5.868935145218887	0.9423418979426823	round19:s_var(34,50]	nnrti	age_cat
0.06427693624484147	0.04213187060510951	0.09806173981086821	3.777359610433457e-37	(Intercept)	nnrti	comm_type
1.4419117119338851	0.6997943940291771	2.971028923283174	0.32110803547387357	round16	nnrti	comm_type
1.1264850363047407	0.5903711951058911	2.149441821582922	0.7178775975275647	round17	nnrti	comm_type
1.5098523761121458	0.7744311892194886	2.943649777263032	0.22645938716800987	round18	nnrti	comm_type
1.1980756029647657	0.37004117955263305	3.8789876093107205	0.7630472189135517	round19	nnrti	comm_type
0.7733512769079429	0.41865398449168334	1.4285596689622015	0.41172487253794	s_varFishing	nnrti	comm_type
0.44124396677476074	0.17442879985894696	1.1161931881235703	0.08402021164020648	s_varTrading	nnrti	comm_type
1.054766584000298	0.3806535500426515	2.9226905846510576	0.9183303646253466	round16:s_varFishing	nnrti	comm_type
1.3551619355743583	0.5706615779176658	3.2181312755116025	0.49098925913640656	round17:s_varFishing	nnrti	comm_type
1.354972634480483	0.5488577543259855	3.3450394491475963	0.5099925181946223	round18:s_varFishing	nnrti	comm_type
1.8139585245433978	0.4016198430215736	8.192935647820843	0.4388624645873321	round19:s_varFishing	nnrti	comm_type
1.0381854713684608	0.2495981111636898	4.318258130782483	0.958903833225747	round16:s_varTrading	nnrti	comm_type
1.8174114219372028	0.5220443441632683	6.327018601996008	0.3479016728809151	round17:s_varTrading	nnrti	comm_type
2.1347953016933485	0.633039425117834	7.19915821875342	0.2214202106206151	round18:s_varTrading	nnrti	comm_type
1.8403425475312334	0.25517023326978394	13.27294586384189	0.5451322970438768	round19:s_varTrading	nnrti	comm_type
