""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.363203080508873	0.215116531356295	0.613232636559405	0.000150759167147256
"round18"	1.92699433350653	0.955315646124986	3.8869950224603	0.0669105878845901
"log10vl"	1.25820871411435	1.10043806177181	1.4385990663794	0.000779275878808813
"comm_typeFishing"	0.982728811366772	0.835043383309341	1.15653382326435	0.833915747822869
"comm_typeTrading"	1.05719003169112	0.865714023746721	1.29101612362706	0.585398613734822
"age_cat(24,34]"	0.748705728055636	0.619273080318029	0.905190755159975	0.00280276174880174
"age_cat(34,50]"	0.864565962116403	0.717177724881036	1.04224417033344	0.126991715841724
"sexM"	1.00908674591982	0.857565953281748	1.18737929939308	0.913228573531692
"round18:log10vl"	0.805078837799303	0.68205205194853	0.950296877226004	0.0103922461779681
"round18:comm_typeFishing"	1.16758727163985	0.926428068873371	1.47152281186087	0.18932533039172
"round18:comm_typeTrading"	1.02421979497313	0.763437756655106	1.37408214261103	0.87318289305953
"round18:age_cat(24,34]"	1.49137139491796	1.13430117507876	1.96084486770024	0.00420396412969111
"round18:age_cat(34,50]"	1.09610485146383	0.817813992328922	1.4690942643096	0.539166614025105
"round18:sexM"	0.921430941755547	0.747409126365308	1.13597084979871	0.443552723935824
