class	corr	QIC	QICu	Quasi Lik	CIC	params	QICC
pi	exchangeable	274.23094542153194	274.1208755363939	-135.06043776819695	2.055034942569027	2	274.24819919579505
pi	independence	274.91119417305964	274.09444184187436	-135.04722092093718	2.408376165592645	2	274.9198148627148
nrti	independence	1029.6411257464636	1028.8428983544325	-512.4214491772162	2.3991136960155766	2	1029.650080970344
nrti	exchangeable	1032.2788685550017	1030.7076870538904	-513.3538435269452	2.785590750555739	2	1032.2967923787508
nnrti	independence	1451.4596384409012	1450.783122601966	-723.391561300983	2.3382579194676074	2	1451.4682467622786
nnrti	exchangeable	1453.1847924143658	1453.3507056755386	-724.6753528377693	1.9170433694136149	2	1453.2020214165195
