""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.130734437554226	0.0970149816781054	0.176173750352592	9.2975613393362e-41
"round16"	0.377473312438423	0.221919056958871	0.642063388137248	0.000324655197527873
"round17"	3.57821731451277	2.47924792480866	5.16432383456251	9.75331223909823e-12
"round18"	6.01594316459203	4.19847368624787	8.62017363075238	1.40272214167577e-22
"round19"	11.6099350417348	4.48046230492917	30.0840811728316	4.48469838013853e-07
"missing_vlTRUE"	4.162406571807	3.11982009229126	5.55340627231419	3.18277016294402e-22
"log10vl"	1.4553501552539	1.37365040439125	1.54190911139156	4.03157572047764e-37
"comm_typeFishing"	1.05496946325793	0.935460792177955	1.1897458212177	0.383015365572861
"comm_typeTrading"	0.994275425132615	0.898658516539672	1.10006593475487	0.9113899968663
"age_cat(24,34]"	0.99694432059038	0.916856435102998	1.08402792444355	0.942900105976561
"age_cat(34,50]"	0.977598355275421	0.890772636296751	1.07288718276122	0.633055503215079
"sexM"	1.09811931673335	1.03139876654749	1.16915597816684	0.0034264847374093
"round16:log10vl"	1.22279863561012	1.09319659836167	1.36776541885588	0.000433522077856706
"round17:log10vl"	0.793989185502173	0.737759505518373	0.854504512620887	7.48299548197051e-10
"round18:log10vl"	0.713859196679828	0.663249611688205	0.768330570729276	2.60719607743974e-19
"round19:log10vl"	0.51241304995613	0.41731770001876	0.629178042900026	1.72788953608407e-10
"round16:comm_typeFishing"	0.706997801135838	0.581146372477532	0.860103262246956	0.000526746289606655
"round17:comm_typeFishing"	0.978906569130061	0.853374839970747	1.12290405833717	0.760769978558138
"round18:comm_typeFishing"	0.953698445004019	0.825984331571678	1.1011597789905	0.518094885830672
"round19:comm_typeFishing"	1.29932489840677	0.937235120953835	1.80130380720433	0.116172510303895
"round16:comm_typeTrading"	1.11921233906069	0.919281995576791	1.36262459825481	0.261979833540201
"round17:comm_typeTrading"	1.04775711765756	0.921263367535397	1.19161904867547	0.477287563372293
"round18:comm_typeTrading"	1.02651295421203	0.899165810148442	1.17189603215801	0.698603802882718
"round19:comm_typeTrading"	0.923104153095204	0.63319439571437	1.34574987275472	0.677398866520076
"round16:age_cat(24,34]"	0.74773397301711	0.624621285486922	0.895112138178421	0.00153936649804528
"round17:age_cat(24,34]"	1.00353326470792	0.897382410553865	1.12224064293143	0.950696371729168
"round18:age_cat(24,34]"	0.930860104610369	0.830837027396911	1.04292479244703	0.216715697696129
"round19:age_cat(24,34]"	0.928349798292453	0.658920934616379	1.30794652698566	0.67078421901949
"round16:age_cat(34,50]"	0.711163042693603	0.579892618513701	0.872149182704719	0.00106087592489405
"round17:age_cat(34,50]"	1.02882782866267	0.908587460855699	1.16498052926449	0.654019208746929
"round18:age_cat(34,50]"	0.956093216434003	0.840408443915681	1.08770234893408	0.495011723800123
"round19:age_cat(34,50]"	0.965882196079354	0.664047004298282	1.40491322250437	0.855910249211085
"round16:sexM"	0.818417675981257	0.702588773977064	0.953342150013386	0.0100630637383809
"round17:sexM"	0.859610597286082	0.788856599889775	0.936710650668047	0.000556789535608995
"round18:sexM"	0.890875285095473	0.811714100973629	0.977756543396212	0.0149434015542229
"round19:sexM"	0.828862897723961	0.628351777458383	1.09335841461651	0.184070110163226
