RR	LCI	UCI	P	var	class	s
0.16393741283843155	0.12414140139769746	0.2164908324343825	3.289422781440197e-37	(Intercept)	nnrti	comm_type
1.1687842414523022	0.7749935821435101	1.7626682782184286	0.4568753972707057	round18	nnrti	comm_type
0.9170445707901337	0.6418708576123209	1.310186830952205	0.6342555080503974	s_varFishing	nnrti	comm_type
0.972586855350177	0.6287272319639644	1.5045080650398197	0.9006211427564953	s_varTrading	nnrti	comm_type
1.2699579773288043	0.760637373868964	2.120318195748959	0.3608199946798824	round18:s_varFishing	nnrti	comm_type
1.0537975471241992	0.5633810826717642	1.9711156524081754	0.8697234661089349	round18:s_varTrading	nnrti	comm_type
0.10755969312927056	0.07501517276197454	0.1542233012349638	7.567968230751143e-34	(Intercept)	nrti	comm_type
1.0088961207094944	0.5775691549327975	1.76233681056098	0.9751727786697748	round18	nrti	comm_type
0.7864684328420964	0.48669182667371014	1.2708916853698926	0.32660746221077264	s_varFishing	nrti	comm_type
1.2449428226849928	0.7388682171735231	2.0976442019441843	0.41047768461667666	s_varTrading	nrti	comm_type
1.5988636755872612	0.7933618462123417	3.2221930829128897	0.1893330287522305	round18:s_varFishing	nrti	comm_type
0.6750404812657897	0.28831120220841716	1.5805131672204087	0.3652666867611915	round18:s_varTrading	nrti	comm_type
0.014800857806282059	0.0055699455988083	0.03932989791653439	2.931416266802482e-17	(Intercept)	pi	comm_type
0.38267014156988716	0.04303502557318592	3.4027268555954673	0.3889144924489293	round18	pi	comm_type
1.0910128876704561	0.32044867218826706	3.714507889624545	0.8891720162625651	s_varFishing	pi	comm_type
1.3147557957120535	0.29378513983489596	5.883833346131392	0.7204120343187694	s_varTrading	pi	comm_type
4.267988052054809	0.384865647730074	47.3300803018362	0.23715772066567067	round18:s_varFishing	pi	comm_type
3.702977603703693	0.26272480562387646	52.19165773467791	0.3321501173788595	round18:s_varTrading	pi	comm_type
