RR	LCI	UCI	P	var	class	s
0.006059942152824364	0.004488545366606427	0.008181469918692612	1.0212011744813718e-243	(Intercept)	nnrti	comm_type
0.815248536405691	0.5208087374190967	1.2761502032497407	0.3716369546847455	round18	nnrti	comm_type
4.123495104117258	2.8129919115582585	6.0445292444015815	3.865054918036723e-13	s_varFishing	nnrti	comm_type
0.9599045962960499	0.6000749374088713	1.5355029456303708	0.8644377497898239	s_varTrading	nnrti	comm_type
1.1551216842898724	0.6612597898486501	2.0178243498248536	0.6123734860786405	round18:s_varFishing	nnrti	comm_type
1.2371474004261032	0.625251374385092	2.4478693739558413	0.5410597588449094	round18:s_varTrading	nnrti	comm_type
0.00393699168617959	0.0027046237793908966	0.0057308908008410365	9.952967508947303e-184	(Intercept)	nrti	comm_type
0.6964986460792217	0.38898747215046536	1.2471105079768279	0.2236218620873378	round18	nrti	comm_type
3.508878152073078	2.1358270505149917	5.764617450241136	7.19838014104081e-7	s_varFishing	nrti	comm_type
1.3223136597568432	0.7646972699483944	2.286543294312447	0.3173791333000315	s_varTrading	nrti	comm_type
1.5153215632483157	0.7300556693534833	3.1452388310041735	0.26463162863308576	round18:s_varFishing	nrti	comm_type
0.7465585788501011	0.30718634467901185	1.814370076368707	0.5188629599560465	round18:s_varTrading	nrti	comm_type
5.487996366610588e-4	2.0679811251330367e-4	0.0014564013062736956	2.295833607301514e-51	(Intercept)	pi	comm_type
0.2624478585011238	0.029800518070234306	2.3113315771722873	0.2281430110973755	round18	pi	comm_type
4.804030571101242	1.4133590099439963	16.32897909568624	0.011930635125561724	s_varFishing	pi	comm_type
1.3555723143852827	0.3023848467748616	6.076945717111367	0.6910445528296061	s_varTrading	pi	comm_type
4.030603529638449	0.36648456897789994	44.32864624680443	0.25452436839518494	round18:s_varFishing	pi	comm_type
4.261772974286786	0.30374894074108394	59.79513489017616	0.282036028118665	round18:s_varTrading	pi	comm_type
