""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.256797567351407	0.202621051907151	0.325459718903341	2.45129827930414e-29
"round18"	2.53790756360887	1.84646825382642	3.48826728435517	9.52077774837956e-09
"log10vl"	1.31881488488227	1.25264406530351	1.38848117255529	5.86304995716464e-26
"comm_typeFishing"	0.994940852641545	0.924943424327713	1.07023551302566	0.891608708253878
"comm_typeTrading"	1.04479965991974	0.955616565289096	1.14230578353167	0.33569762331673
"age_cat(24,34]"	0.927449483719997	0.851569747617257	1.01009053839603	0.0837328067236516
"age_cat(34,50]"	0.967545104827985	0.883990413891181	1.05899737730848	0.473995301725548
"sexM"	0.96703116913342	0.903961584664614	1.03450113139764	0.329934415842332
"round18:log10vl"	0.81359432708952	0.759130343871948	0.871965841460168	5.36512483965236e-09
"round18:comm_typeFishing"	1.0589059251103	0.952149020809111	1.17763263284234	0.29114073392863
"round18:comm_typeTrading"	0.987365369152505	0.869791893880646	1.12083175189425	0.844171257153716
"round18:age_cat(24,34]"	1.01711648673967	0.908629778328272	1.13855606790811	0.768054781120786
"round18:age_cat(34,50]"	0.9165654897979	0.806466871968209	1.04169473823294	0.182094801754302
"round18:sexM"	0.998065958023594	0.908095460171292	1.09695037609554	0.967962078041726
