var	RR	LCI	UCI	P	corr	class
(Intercept)	0.008798343031879667	0.007441646182247688	0.010402381168200634	0	independence	nnrti
round18	0.892625996432661	0.7132174001065238	1.117164513076092	0.32110781440965985	independence	nnrti
(Intercept)	0.006097646764598852	0.004936257002206288	0.007532285302245092	0	independence	nrti
round18	0.7613622019827083	0.5714271802047448	1.0144291743354932	0.06258621307342205	independence	nrti
(Intercept)	8.720080377770767e-4	5.135822236392578e-4	0.0014805769805653053	0	independence	pi
round18	0.8714109110746574	0.41982468188781524	1.8087478147434848	0.7118208724570507	independence	pi
