""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.291024078674788	0.179627600605138	0.471503344047264	5.33537230446949e-07
"round18"	2.43366035297332	1.2475361225657	4.74752001685811	0.00908932461494553
"log10vl"	1.34294295580929	1.19517206741321	1.50898421384732	7.13754604279396e-07
"comm_typeFishing"	0.946853458975422	0.806164818188811	1.11209451534729	0.505787497212676
"comm_typeTrading"	0.986311218470265	0.809282526453312	1.20206452985417	0.891378524467347
"age_cat(24,34]"	0.728181628904909	0.605902867757184	0.875137770245881	0.000719685516873844
"age_cat(34,50]"	0.867194690292708	0.725165494765031	1.03704138751877	0.118427954076558
"sexM"	0.946749591910119	0.799109702687298	1.12166675835336	0.526988091910167
"round18:log10vl"	0.750816604752724	0.645181315153267	0.873747519855705	0.000211807127460925
"round18:comm_typeFishing"	1.20942707947485	0.96055849310449	1.52277437664376	0.105742715940258
"round18:comm_typeTrading"	1.12881285144507	0.846578521752554	1.50513912277117	0.409146766857091
"round18:age_cat(24,34]"	1.51597267408519	1.15791731888297	1.98474719316749	0.00247359135160244
"round18:age_cat(34,50]"	1.12318169557727	0.844867787428682	1.49317696810204	0.423939452113609
"round18:sexM"	0.994612506900324	0.802470552860643	1.23276054847877	0.960660926946914
