round	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_n	pi_y	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
15	16153	48 (0.3%)	0.56 (0.42, 0.75)	ref	ref	 	16179	19 (0.12%)	0.24 (0.15, 0.37)	ref	ref	 	16543	29 (0.18%)	0.25 (0.17, 0.36)	ref	ref	 
16	17096	28 (0.16%)	0.4 (0.27, 0.59)	0.71 (0.44, 1.16)	0.17	 	17091	6 (0.04%)	0.1 (0.04, 0.22)	0.41 (0.16, 1.08)	0.071	 	17173	8 (0.05%)	0.11 (0.05, 0.23)	0.43 (0.19, 0.96)	0.04	 
17	19219	50 (0.26%)	0.3 (0.23, 0.39)	0.54 (0.36, 0.8)	0.0023	 	19179	13 (0.07%)	0.09 (0.05, 0.15)	0.38 (0.19, 0.75)	0.0057	 	19220	9 (0.05%)	0.05 (0.03, 0.1)	0.21 (0.1, 0.46)	<0.0001	 
18	19740	43 (0.22%)	0.25 (0.18, 0.33)	0.44 (0.29, 0.68)	0.00015	 	19731	8 (0.04%)	0.05 (0.02, 0.1)	0.21 (0.09, 0.47)	0.0002	 	19740	9 (0.05%)	0.05 (0.03, 0.1)	0.21 (0.1, 0.43)	<0.0001	 
19	19155	10 (0.05%)	0.12 (0.06, 0.22)	0.21 (0.11, 0.43)	<0.0001	 	19153	2 (0.01%)	0.03 (0.01, 0.11)	0.11 (0.03, 0.49)	0.0036	 	19158	1 (0.01%)	0.01 (0, 0.08)	0.05 (0.01, 0.34)	0.0025	 
