round	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
17	52.47 (45.17, 60.94)	ref	ref		46.44 (38.99, 55.3)	ref	ref		2.92 (1.21, 7.07)	ref	ref	
18	47.67 (40.94, 55.5)	0.91 (0.73, 1.12)	0.38		36.55 (30.14, 44.31)	0.79 (0.61, 1.02)	0.071		2.18 (0.83, 5.76)	0.75 (0.2, 2.77)	0.66	
