sequenced	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
PANGEA1	4.48 (2.78, 7.24)	ref	ref	 	1.3 (0.51, 3.3)	ref	ref	 	1.79 (0.83, 3.83)	ref	ref	 
PANGEA2	8.88 (4.7, 16.78)	1.98 (0.89, 4.38)	0.092	 	1.43 (0.2, 10.04)	1.1 (0.13, 9.48)	0.93	 	0 (0, 0)	0 (0, 0)	<0.0001	 
