round	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_n	pi_y	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
17	19175	137 (0.71%)	0.88 (0.74, 1.04)	ref	ref	 	19127	87 (0.45%)	0.61 (0.49, 0.75)	ref	ref	 	19173	14 (0.07%)	0.09 (0.05, 0.15)	ref	ref	 
18	19698	130 (0.66%)	0.79 (0.66, 0.93)	0.89 (0.71, 1.12)	0.32	 	19687	74 (0.38%)	0.46 (0.37, 0.58)	0.76 (0.57, 1.01)	0.063	 	19699	13 (0.07%)	0.08 (0.04, 0.13)	0.87 (0.42, 1.81)	0.71	 
