var	v	n_viremic_participants	n_viremic_sequenced	n_viremic_p	viremic_spacer	n_pretreat_participants	n_pretreat_sequenced	n_pretreat_p	pretreat_spacer	n_treat_participants	n_treat_sequenced	n_treat_p
Overall		5953	3080 (51.74%)			5177	2686 (51.88%)			776	394 (50.77%)	
Age category				0.27				0.36				0.73
Age category	(14,24]	1146	630 (54.97%)			1032	567 (54.94%)			114	63 (55.26%)	
Age category	(24,34]	2931	1520 (51.86%)			2573	1335 (51.88%)			358	185 (51.68%)	
Age category	(34,50]	1876	930 (49.57%)			1572	784 (49.87%)			304	146 (48.03%)	
Community type				0.98				0.79				0.17
Community type	Agrarian	1794	932 (51.95%)			1590	842 (52.96%)			204	90 (44.12%)	
Community type	Fishing	2861	1482 (51.8%)			2455	1253 (51.04%)			406	229 (56.4%)	
Community type	Trading	1298	666 (51.31%)			1132	591 (52.21%)			166	75 (45.18%)	
Sex				0.086				0.085				0.82
Sex	F	3188	1590 (49.87%)			2744	1368 (49.85%)			444	222 (50%)	
Sex	M	2765	1490 (53.89%)			2433	1318 (54.17%)			332	172 (51.81%)	
Survey round				<1e-4				<1e-4				<1e-4
Survey round	15	2281	1001 (43.88%)			2246	1000 (44.52%)			35	1 (2.86%)	
Survey round	16	1465	425 (29.01%)			1319	422 (31.99%)			146	3 (2.05%)	
Survey round	17	1026	865 (84.31%)			822	705 (85.77%)			204	160 (78.43%)	
Survey round	18	728	624 (85.71%)			502	440 (87.65%)			226	184 (81.42%)	
Survey round	19	453	165 (36.42%)			288	119 (41.32%)			165	46 (27.88%)	
Viral load				<1e-4				<1e-4				0.8
Viral load	(3,4]	2101	895 (42.6%)			1748	723 (41.36%)			353	172 (48.73%)	
Viral load	(4,5]	2231	1357 (60.82%)			1898	1180 (62.17%)			333	177 (53.15%)	
Viral load	(5,Inf]	598	393 (65.72%)			508	348 (68.5%)			90	45 (50%)	
Viral load	missing	1023	435 (42.52%)			1023	435 (42.52%)					
