round	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_y	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer	nnrti_nrti_y	nnrti_nrti_Prev. % (95% CI)	nnrti_nrti_Prev. ratio (95% CI)	nnrti_nrti_p-value	nnrti_nrti_spacer	nnrti_pi_y	nnrti_pi_Prev. % (95% CI)	nnrti_pi_Prev. ratio (95% CI)	nnrti_pi_p-value	nnrti_pi_spacer	nrti_pi_y	nrti_pi_Prev. % (95% CI)	nrti_pi_Prev. ratio (95% CI)	nrti_pi_p-value	nrti_pi_spacer	nnrti_nrti_pi_y	nnrti_nrti_pi_Prev. % (95% CI)	nnrti_nrti_pi_Prev. ratio (95% CI)	nnrti_nrti_pi_p-value	nnrti_nrti_pi_spacer
17	19336	50 (0.26%)	0.33 (0.25, 0.44)	ref	ref	 	2 (0.01%)	0.01 (0, 0.05)	ref	ref	 	8 (0.04%)	0.05 (0.02, 0.1)	ref	ref	 	74 (0.38%)	0.54 (0.43, 0.68)	ref	ref	 	0 (0%)	0 (NA, NA)	ref	ref	 	1 (0.01%)	0.01 (0, 0.04)	ref	ref	 	5 (0.03%)	0.04 (0.02, 0.09)	ref	ref	 
18	19803	54 (0.27%)	0.32 (0.25, 0.42)	0.97 (0.67, 1.4)	0.86	 	0 (0%)	0 (0, 0)	0 (0, 0)	<0.0001	 	7 (0.04%)	0.04 (0.02, 0.09)	0.84 (0.3, 2.35)	0.74	 	70 (0.35%)	0.44 (0.35, 0.56)	0.82 (0.6, 1.11)	0.2	 	2 (0.01%)	0.01 (0, 0.05)	2054933019883193856 (NA, NA)		 	1 (0.01%)	0.01 (0, 0.04)	0.94 (0.06, 14.96)	0.96	 	3 (0.02%)	0.03 (0.01, 0.07)	0.77 (0.34, 1.74)	0.53	 
