round	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_n	pi_y	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
17	19292	87 (0.45%)	0.58 (0.47, 0.72)	ref	ref	 	19284	74 (0.38%)	0.53 (0.42, 0.66)	ref	ref	 	19289	5 (0.03%)	0.03 (0.01, 0.08)	ref	ref	 
18	19761	87 (0.44%)	0.54 (0.44, 0.66)	0.92 (0.7, 1.22)	0.57	 	19759	66 (0.33%)	0.42 (0.33, 0.53)	0.79 (0.58, 1.07)	0.13	 	19762	4 (0.02%)	0.02 (0.01, 0.06)	0.7 (0.19, 2.62)	0.6	 
