round	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_n	pi_y	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
17	160	87 (54.37%)	51.77 (46.47, 57.67)	ref	ref	 	152	74 (48.68%)	50.04 (42.59, 58.79)	ref	ref	 	157	5 (3.18%)	3.28 (1.38, 7.82)	ref	ref	 
18	184	87 (47.28%)	51.49 (46.24, 57.34)	0.99 (0.97, 1.02)	0.72	 	182	66 (36.26%)	36.46 (30.06, 44.22)	0.73 (0.58, 0.92)	0.0084	 	185	4 (2.16%)	2.13 (0.81, 5.63)	0.65 (0.18, 2.36)	0.51	 
