s	s_var	15	16	17	18	19
		1971	798	948	635	171
sequenced	PANGEA1	1867 (94.72%)	607 (76.07%)	6 (0.63%)		
sequenced	PANGEA2	104 (5.28%)	191 (23.93%)	942 (99.37%)	635 (100%)	171 (100%)
