round	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer	pi_Prev. % (95% CI)	pi_Prev. ratio (95% CI)	pi_p-value	pi_spacer
17	0.67 (0.54, 0.83)	ref	ref		0.59 (0.47, 0.75)	ref	ref		0.04 (0.02, 0.09)	ref	ref	
18	0.66 (0.53, 0.81)	0.98 (0.73, 1.31)	0.88		0.5 (0.4, 0.64)	0.85 (0.61, 1.18)	0.33		0.03 (0.01, 0.08)	0.8 (0.22, 3)	0.74	
